销售日期,单品编码,利润(元)
2020-07-01,七彩椒(1),16.07378
2020-07-01,上海青,34.08371999999999
2020-07-01,云南油麦菜,83.40224
2020-07-01,云南生菜,53.71648000000001
2020-07-01,外地茼蒿,11.305130000000002
2020-07-01,大白菜,16.2228
2020-07-01,姬菇(1),6.645919999999999
2020-07-01,娃娃菜,27.200000000000003
2020-07-01,小白菜,28.98688
2020-07-01,小米椒,60.04710000000001
2020-07-01,木耳菜,8.5092
2020-07-01,杏鲍菇(1),45.649919999999995
2020-07-01,泡泡椒(精品),178.91743999999997
2020-07-01,洪湖藕带,7.580469999999999
2020-07-01,海鲜菇(1),4.470930000000001
2020-07-01,灯笼椒(1),4.1715
2020-07-01,甜白菜,65.04476
2020-07-01,竹叶菜,31.89912
2020-07-01,紫茄子(2),-9.890159999999995
2020-07-01,红杭椒,21.65193
2020-07-01,红椒(1),10.65088
2020-07-01,红灯笼椒(1),11.24928
2020-07-01,红薯尖,28.3948
2020-07-01,苋菜,14.502920000000001
2020-07-01,菜心,30.460600000000003
2020-07-01,菠菜,30.260159999999996
2020-07-01,西兰花,164.82258
2020-07-01,西峡香菇(1),54.9996
2020-07-01,金针菇(1),26.894220000000004
2020-07-01,青尖椒,9.55584
2020-07-01,青梗散花,35.895419999999994
2020-07-01,青线椒,39.6169
2020-07-01,青茄子(1),41.97981000000001
2020-07-01,高瓜(1),17.91765
2020-07-01,黄心菜(1),19.493109999999994
2020-07-01,黄白菜(2),28.61913
2020-07-02,七彩椒(1),12.172749999999999
2020-07-02,上海青,20.21382
2020-07-02,东门口小白菜,4.41264
2020-07-02,云南油麦菜,65.47552
2020-07-02,云南生菜,167.03680999999997
2020-07-02,外地茼蒿,3.6422499999999998
2020-07-02,大白菜,11.0133
2020-07-02,姬菇(1),9.157049999999998
2020-07-02,娃娃菜,32.67
2020-07-02,小白菜,30.985500000000002
2020-07-02,小米椒,56.70316
2020-07-02,木耳菜,8.653479999999998
2020-07-02,杏鲍菇(1),39.13139999999999
2020-07-02,泡泡椒(精品),124.20719999999997
2020-07-02,洪湖藕带,2.0794800000000007
2020-07-02,海鲜菇(1),13.230979999999999
2020-07-02,灯笼椒(1),9.30166
2020-07-02,甜白菜,48.23087999999999
2020-07-02,竹叶菜,32.587920000000004
2020-07-02,紫茄子(2),47.33696
2020-07-02,红杭椒,14.657670000000001
2020-07-02,红椒(1),14.144129999999999
2020-07-02,红灯笼椒(1),5.24144
2020-07-02,红薯尖,32.6616
2020-07-02,苋菜,16.79184
2020-07-02,菜心,49.67700000000001
2020-07-02,螺丝椒,16.9476
2020-07-02,西兰花,153.5559
2020-07-02,西峡香菇(1),156.105
2020-07-02,金针菇(1),33.555600000000005
2020-07-02,青尖椒,5.717809999999999
2020-07-02,青梗散花,48.142320000000005
2020-07-02,青线椒,33.75515
2020-07-02,青茄子(1),45.12818
2020-07-02,高瓜(1),18.41008
2020-07-02,黄心菜(1),42.818749999999994
2020-07-02,黄白菜(2),17.09664
2020-07-03,七彩椒(1),12.31599
2020-07-03,上海青,40.618700000000004
2020-07-03,东门口小白菜,10.85136
