单品编码,利润率(元/千克)
野生粉藕,9.93409184091841
西峡花菇(1),8.4
七彩椒(2),6.828147082990962
红椒(2),5.818628070175438
长线茄,5.014839157994644
菱角,4.832459914921466
紫茄子(1),4.66
西兰花,4.586283218056061
菠菜,4.364391495601172
外地茼蒿,4.26979198531661
枝江青梗散花,3.8837820894337973
上海青,3.8698257427207814
螺丝椒,3.827292523540096
小米椒(份),3.620333333333333
红莲藕带,3.61081592689295
净藕(1),3.582122131613882
云南生菜,3.460314987588804
洪湖藕带,3.0172499291584014
云南油麦菜,2.8246018046292662
小青菜(1),2.3701845158281354
青红杭椒组合装(份),2.2826666666666666
紫茄子(2),2.269641640461216
姜蒜小米椒组合装(小份),2.263673469387755
奶白菜,2.253172001156609
白玉菇(袋),2.1975
木耳菜,2.1901514421919392
圆茄子(2),2.188876796990461
高瓜(2),2.1669446297531687
红薯尖,2.138595067520446
青茄子(1),1.9141432156778981
芜湖青椒(1),1.8333402252243212
木耳菜(份),1.8
娃娃菜,1.7838356164383562
高瓜(1),1.702015596024915
双孢菇(盒),1.6274285714285714
螺丝椒(份),1.5944303797468355
苋菜,1.4896844430924896
青线椒(份),1.47
竹叶菜,1.4372175725474605
菜心,1.3929886222823027
菠菜(份),1.3753061224489793
云南油麦菜(份),1.2895302013422822
蟹味菇与白玉菇双拼(盒),1.2499999999999998
鲜木耳(份),1.125
小皱皮(份),1.0626582278481014
虫草花(份),0.9462499999999998
云南生菜(份),0.88570796460177
海鲜菇(包),0.795
金针菇(盒),0.42628318584070796
