销售日期,单品编码,销售单价(元/千克),批发价格(元/千克),销量(千克)
2020-07-01,七彩椒(1),16.0,7.58,1.909
2020-07-01,上海青,10.0,7.03,11.475999999999999
2020-07-01,云南油麦菜,6.0,3.44,32.579
2020-07-01,云南生菜,8.0,6.72,41.966
2020-07-01,外地茼蒿,16.0,11.69,2.623
2020-07-01,大白菜,3.2,2.1,14.748
2020-07-01,姬菇(1),14.0,8.16,1.138
2020-07-01,娃娃菜,6.4,4.13,1.0
2020-07-01,娃娃菜,6.9,4.13,9.0
2020-07-01,小白菜,16.0,9.24,4.288
2020-07-01,小米椒,25.8,12.1,4.383
2020-07-01,木耳菜,7.0,4.2,3.039
2020-07-01,杏鲍菇(1),10.0,6.16,11.888
2020-07-01,泡泡椒(精品),7.6,4.32,54.548
2020-07-01,洪湖藕带,39.8,29.43,0.7310000000000001
2020-07-01,海鲜菇(1),16.0,10.29,0.783
2020-07-01,灯笼椒(1),12.0,7.5,0.927
2020-07-01,甜白菜,8.0,4.44,18.271
2020-07-01,竹叶菜,6.0,3.19,11.352
2020-07-01,紫茄子(2),6.0,6.56,17.661
2020-07-01,红杭椒,18.0,7.83,2.129
2020-07-01,红椒(1),10.0,5.76,2.512
2020-07-01,红灯笼椒(1),14.0,8.24,1.953
2020-07-01,红薯尖,4.0,3.6,12.685
2020-07-01,红薯尖,6.0,3.6,9.717
2020-07-01,苋菜,6.0,3.88,6.841
2020-07-01,菜心,8.0,4.6,8.959
2020-07-01,菠菜,14.0,8.47,5.4719999999999995
2020-07-01,西兰花,14.0,9.23,34.554
2020-07-01,西峡香菇(1),16.0,10.8,0.195
2020-07-01,西峡香菇(1),18.0,10.8,7.498
2020-07-01,金针菇(1),6.0,4.06,13.863
2020-07-01,青尖椒,8.0,4.64,2.844
2020-07-01,青梗散花,9.0,6.03,12.086
2020-07-01,青线椒,14.0,6.81,5.51
2020-07-01,青茄子(1),4.0,1.63,17.713
2020-07-01,高瓜(1),10.0,5.65,4.119
2020-07-01,黄心菜(1),8.0,3.97,4.837
2020-07-01,黄白菜(2),9.0,4.63,6.5489999999999995
2020-07-02,七彩椒(1),14.0,7.33,1.825
2020-07-02,上海青,10.0,7.03,6.806
2020-07-02,东门口小白菜,10.0,6.83,1.392
2020-07-02,云南油麦菜,6.0,3.58,27.056
2020-07-02,云南生菜,3.4,4.23,0.464
2020-07-02,云南生菜,8.0,4.23,44.409
2020-07-02,外地茼蒿,16.0,11.75,0.857
2020-07-02,大白菜,0.7,2.1,0.535
2020-07-02,大白菜,3.2,2.1,10.693
2020-07-02,姬菇(1),14.0,8.05,1.539
2020-07-02,娃娃菜,6.1,4.11,1.0
2020-07-02,娃娃菜,6.3,4.11,2.0
2020-07-02,娃娃菜,6.5,4.11,4.0
2020-07-02,娃娃菜,6.9,4.11,6.0
2020-07-02,小白菜,16.0,9.19,4.55
2020-07-02,小米椒,25.8,12.13,4.148
2020-07-02,木耳菜,7.0,4.23,3.124
2020-07-02,杏鲍菇(1),10.0,6.15,10.164
2020-07-02,泡泡椒(精品),7.6,4.48,39.81
2020-07-02,洪湖藕带,37.6,29.54,0.258
2020-07-02,海鲜菇(1),16.0,10.13,2.254
2020-07-02,灯笼椒(1),12.0,6.46,1.679
2020-07-02,甜白菜,8.0,4.44,13.548
2020-07-02,竹叶菜,6.0,3.18,11.556000000000001
2020-07-02,紫茄子(2),7.0,3.72,14.432
2020-07-02,红杭椒,16.0,7.27,1.679
2020-07-02,红椒(1),10.0,5.71,3.2969999999999997
2020-07-02,红灯笼椒(1),12.0,8.24,1.3940000000000001
2020-07-02,红薯尖,4.0,3.6,10.728
2020-07-02,红薯尖,6.0,3.6,11.821
2020-07-02,苋菜,6.0,3.93,8.112
2020-07-02,菜心,8.0,4.52,14.275
2020-07-02,螺丝椒,10.0,7.1,5.844
2020-07-02,西兰花,14.0,8.9,30.109
2020-07-02,西峡香菇(1),19.8,10.8,17.345
2020-07-02,金针菇(1),6.0,4.05,17.208000000000002
2020-07-02,青尖椒,8.0,4.57,1.6669999999999998
2020-07-02,青梗散花,9.0,5.52,13.834
2020-07-02,青线椒,14.0,6.85,4.721
2020-07-02,青茄子(1),4.0,1.46,17.767
2020-07-02,高瓜(1),10.0,5.76,4.342
2020-07-02,黄心菜(1),8.0,3.97,10.625
2020-07-02,黄白菜(2),3.8,4.76,0.635
2020-07-02,黄白菜(2),9.0,4.76,4.176
2020-07-03,七彩椒(1),14.0,6.21,1.581
2020-07-03,上海青,5.9,6.76,0.461
2020-07-03,上海青,10.0,6.76,12.659
2020-07-03,东门口小白菜,10.0,6.88,3.4779999999999998
2020-07-03,云南油麦菜,6.0,3.75,36.709
2020-07-03,云南生菜,8.0,4.61,36.309
2020-07-03,外地茼蒿,16.0,11.75,2.09
2020-07-03,大白菜,3.6,2.11,10.446
2020-07-03,姬菇(1),14.0,7.9,1.259
2020-07-03,娃娃菜,6.5,4.05,2.0
2020-07-03,娃娃菜,6.9,4.05,10.0
2020-07-03,小白菜,16.0,9.2,3.099
2020-07-03,小米椒,25.8,12.2,3.935
2020-07-03,木耳菜,7.0,4.3,2.306
2020-07-03,杏鲍菇(1),10.0,6.32,9.443999999999999
2020-07-03,泡泡椒(精品),7.6,5.31,32.351
2020-07-03,海鲜菇(1),16.0,10.05,1.816
2020-07-03,灯笼椒(1),12.0,6.23,1.369
2020-07-03,甜白菜,8.0,4.47,13.562
2020-07-03,竹叶菜,4.0,3.79,2.061
2020-07-03,竹叶菜,6.0,3.79,9.064
2020-07-03,紫茄子(2),7.0,6.56,17.553
2020-07-03,红杭椒,16.0,6.75,1.904
2020-07-03,红椒(1),10.0,5.7,4.738
2020-07-03,红灯笼椒(1),14.0,7.0,2.239
2020-07-03,红薯尖,4.0,3.6,2.31
2020-07-03,红薯尖,6.0,3.6,11.424
2020-07-03,苋菜,6.0,3.57,7.694
2020-07-03,菜心,8.0,3.89,8.173
2020-07-03,螺丝椒,10.0,6.58,9.099
2020-07-03,西兰花,14.0,8.97,26.46
2020-07-03,西峡香菇(1),19.8,10.8,15.29
2020-07-03,金针菇(1),7.0,4.05,14.633
2020-07-03,青尖椒,8.0,4.42,2.331
2020-07-03,青梗散花,8.0,4.81,15.616
2020-07-03,青线椒,14.0,8.07,4.7059999999999995
2020-07-03,青茄子(1),4.0,1.48,18.343
2020-07-03,高瓜(1),6.0,5.61,3.979
2020-07-03,高瓜(1),7.0,5.61,0.745
2020-07-03,高瓜(1),8.0,5.61,0.438
2020-07-03,高瓜(1),10.0,5.61,4.41
2020-07-03,黄心菜(1),8.0,3.98,6.943
2020-07-03,黄白菜(2),9.0,4.74,9.991
2020-07-04,七彩椒(1),14.0,7.43,0.6930000000000001
2020-07-04,上海青,10.0,6.56,28.186
2020-07-04,东门口小白菜,10.0,7.21,4.908
2020-07-04,云南油麦菜,5.6,3.75,0.368
2020-07-04,云南油麦菜,6.0,3.75,42.962
2020-07-04,云南生菜,8.0,5.77,51.205
2020-07-04,大白菜,3.6,2.21,9.638
2020-07-04,姬菇(1),14.0,7.79,1.596
2020-07-04,娃娃菜,5.6,4.09,1.0
2020-07-04,娃娃菜,6.9,4.09,14.0
2020-07-04,小白菜,16.0,9.16,7.091
2020-07-04,小米椒,25.8,12.08,3.4210000000000003
2020-07-04,木耳菜,7.0,4.28,4.099
2020-07-04,杏鲍菇(1),10.0,6.0,13.054
2020-07-04,泡泡椒(精品),7.6,5.16,45.815
2020-07-04,洪湖藕带,37.6,25.48,2.332
2020-07-04,海鲜菇(1),16.0,10.08,1.3780000000000001
2020-07-04,灯笼椒(1),12.0,7.23,0.618
2020-07-04,甜白菜,8.0,4.44,15.843
2020-07-04,竹叶菜,6.0,3.46,20.571
2020-07-04,紫茄子(2),7.0,3.94,33.045
2020-07-04,红杭椒,16.0,5.9,1.703
2020-07-04,红椒(1),10.0,5.42,4.948
2020-07-04,红灯笼椒(1),14.0,7.37,0.9450000000000001
2020-07-04,菜心,8.0,3.53,13.034
2020-07-04,螺丝椒,13.2,6.0,0.444
2020-07-04,螺丝椒,14.0,6.0,10.238
2020-07-04,西兰花,14.0,9.27,42.815
2020-07-04,西峡香菇(1),17.8,12.0,0.438
2020-07-04,西峡香菇(1),19.8,12.0,14.094
2020-07-04,金针菇(1),7.0,4.05,16.702
2020-07-04,青尖椒,8.0,4.41,3.948
2020-07-04,青梗散花,8.0,4.71,12.847
2020-07-04,青线椒,12.0,6.09,8.509
2020-07-04,青茄子(1),4.0,1.98,24.022
2020-07-04,高瓜(1),10.0,5.41,3.107
2020-07-04,黄心菜(1),8.0,4.01,5.2509999999999994
2020-07-04,黄白菜(2),8.4,4.63,0.646
2020-07-04,黄白菜(2),9.0,4.63,17.785
2020-07-05,七彩椒(1),14.0,8.35,1.395
2020-07-05,上海青,9.7,6.56,0.421
2020-07-05,上海青,10.0,6.56,11.617
2020-07-05,东门口小白菜,11.0,7.03,3.625
2020-07-05,云南油麦菜,6.0,3.75,12.594
2020-07-05,云南生菜,7.8,5.77,0.414
2020-07-05,云南生菜,8.0,5.77,33.835
2020-07-05,大白菜,4.0,2.2,9.698
2020-07-05,大龙茄子,11.7,8.1,0.401
2020-07-05,大龙茄子,12.0,8.1,10.026
2020-07-05,姬菇(1),14.0,7.9,1.772
2020-07-05,娃娃菜,6.3,4.1,1.0
2020-07-05,娃娃菜,6.4,4.1,1.0
2020-07-05,娃娃菜,6.6,4.1,1.0
2020-07-05,娃娃菜,6.9,4.1,10.0
2020-07-05,小米椒,25.8,11.67,3.6990000000000003
2020-07-05,木耳菜,7.0,4.31,3.568
2020-07-05,杏鲍菇(1),10.0,6.16,14.044
2020-07-05,泡泡椒(精品),7.6,5.16,53.874
2020-07-05,灯笼椒(1),12.0,7.23,0.626
2020-07-05,甜白菜,8.0,4.44,17.408
2020-07-05,竹叶菜,5.8,3.45,0.418
2020-07-05,竹叶菜,6.0,3.45,30.519
2020-07-05,紫茄子(2),6.8,4.24,0.473
2020-07-05,紫茄子(2),7.0,4.24,26.493
2020-07-05,红杭椒,16.0,5.83,2.56
2020-07-05,红椒(1),10.0,5.44,7.412
2020-07-05,红灯笼椒(1),16.0,7.3,1.282
2020-07-05,红薯尖,6.0,3.6,55.159
2020-07-05,苋菜,6.0,3.48,6.021
2020-07-05,菜心,8.0,4.04,10.791
2020-07-05,螺丝椒,13.6,7.95,0.465
2020-07-05,螺丝椒,14.0,7.95,15.173
2020-07-05,西兰花,14.0,9.47,42.365
2020-07-05,西峡香菇(1),19.8,12.0,18.406
2020-07-05,金针菇(1),7.0,4.05,18.991
2020-07-05,金针菇(袋)(1),3.5,1.63,20.0
2020-07-05,青尖椒,8.0,4.35,3.535
2020-07-05,青梗散花,8.0,4.93,13.109
2020-07-05,青线椒,12.0,6.3,8.475
2020-07-05,青茄子(1),4.0,2.04,24.423000000000002
2020-07-05,高瓜(1),10.0,5.42,4.019
2020-07-05,黄白菜(2),9.0,4.75,14.811
2020-07-06,七彩椒(1),14.0,8.44,1.2730000000000001
2020-07-06,上海青,10.0,6.25,13.458
2020-07-06,云南油麦菜,6.0,3.65,11.053
2020-07-06,云南生菜,8.0,6.48,36.532
2020-07-06,外地茼蒿,15.6,9.17,0.263
2020-07-06,外地茼蒿,16.0,9.17,5.4190000000000005
2020-07-06,大白菜,4.0,2.2,14.098
2020-07-06,大龙茄子,12.0,5.27,5.333
2020-07-06,姬菇(1),14.0,7.89,1.103
2020-07-06,娃娃菜,6.6,4.06,1.0
2020-07-06,娃娃菜,6.9,4.06,9.0
2020-07-06,小白菜,16.0,9.23,6.496
2020-07-06,小米椒,25.8,11.68,3.064
2020-07-06,木耳菜,7.0,4.21,3.539
2020-07-06,杏鲍菇(1),10.0,6.14,9.012
2020-07-06,泡泡椒(精品),7.6,4.98,26.296
2020-07-06,海鲜菇(1),17.0,10.09,1.202
2020-07-06,灯笼椒(1),12.0,7.38,1.127
2020-07-06,甜白菜,6.0,4.44,11.038
2020-07-06,甜白菜,8.0,4.44,29.163
2020-07-06,竹叶菜,6.0,3.18,14.131
2020-07-06,紫茄子(2),8.0,4.49,8.96
2020-07-06,红杭椒,16.0,5.82,2.0140000000000002
2020-07-06,红椒(1),10.0,5.41,4.308
2020-07-06,红灯笼椒(1),18.0,8.05,1.234
2020-07-06,红薯尖,6.0,3.6,15.903
2020-07-06,苋菜,6.0,3.35,5.854
2020-07-06,菜心,8.0,4.55,10.162
2020-07-06,螺丝椒,14.0,8.16,10.36
2020-07-06,西兰花,13.2,9.48,0.444
2020-07-06,西兰花,14.0,9.48,23.99
2020-07-06,西峡香菇(1),19.8,12.0,13.35
2020-07-06,金针菇(1),7.0,4.06,11.911
2020-07-06,金针菇(袋)(1),3.4,1.64,1.0
2020-07-06,金针菇(袋)(1),3.5,1.64,3.0
2020-07-06,青尖椒,8.0,4.41,3.896
2020-07-06,青梗散花,9.0,5.6,18.287
2020-07-06,青线椒,12.0,6.42,5.11
2020-07-06,青茄子(1),4.0,2.05,16.434
2020-07-06,高瓜(1),9.7,5.45,0.381
2020-07-06,高瓜(1),10.0,5.45,2.708
2020-07-06,黄白菜(2),9.0,5.31,8.631
2020-07-07,七彩椒(1),14.0,8.46,1.323
2020-07-07,上海青,10.0,6.25,9.861
2020-07-07,东门口小白菜,11.0,4.32,1.266
2020-07-07,云南油麦菜,6.0,3.73,28.214
2020-07-07,云南生菜,10.0,6.92,30.058
2020-07-07,外地茼蒿,16.0,9.42,3.416
2020-07-07,大白菜,3.5,2.2,0.754
2020-07-07,大白菜,4.0,2.2,14.074
2020-07-07,姬菇(1),14.0,7.88,1.137
2020-07-07,娃娃菜,5.6,4.07,1.0
2020-07-07,娃娃菜,5.7,4.07,1.0
2020-07-07,娃娃菜,6.0,4.07,1.0
2020-07-07,娃娃菜,6.1,4.07,1.0
2020-07-07,娃娃菜,6.3,4.07,1.0
2020-07-07,娃娃菜,6.5,4.07,-1.0
2020-07-07,娃娃菜,6.9,4.07,6.0
2020-07-07,小白菜,16.0,9.9,6.929
2020-07-07,小米椒,25.8,11.69,2.738
2020-07-07,平菇,13.0,8.0,0.424
2020-07-07,木耳菜,7.0,4.21,5.059
2020-07-07,杏鲍菇(1),9.3,6.13,0.441
2020-07-07,杏鲍菇(1),10.0,6.13,13.012
2020-07-07,泡泡椒(精品),8.0,4.75,8.51
2020-07-07,海鲜菇(1),17.0,10.05,2.2159999999999997
2020-07-07,灯笼椒(1),12.0,6.19,1.787
2020-07-07,甜白菜,8.0,4.44,8.107
2020-07-07,竹叶菜,6.0,3.18,11.756
2020-07-07,紫茄子(2),8.0,4.75,14.6
2020-07-07,红杭椒,16.0,5.8,2.3529999999999998
2020-07-07,红椒(1),10.0,5.48,4.158
2020-07-07,红灯笼椒(1),18.0,10.56,1.374
2020-07-07,红薯尖,4.0,3.6,9.423
2020-07-07,红薯尖,6.0,3.6,4.698
2020-07-07,苋菜,6.0,3.26,8.062
2020-07-07,菜心,8.0,4.65,11.478
