销售日期,单品编码,销量(千克)
24/06/2023,七彩椒(2),0.951
24/06/2023,上海青,5.127
24/06/2023,云南油麦菜(份),26
24/06/2023,云南生菜(份),58
24/06/2023,净藕(1),7.656
24/06/2023,双孢菇(盒),12
24/06/2023,圆茄子(2),0.867
24/06/2023,外地茼蒿,3.68
24/06/2023,奶白菜,6.609
24/06/2023,姜蒜小米椒组合装(小份),7
24/06/2023,娃娃菜,9
24/06/2023,小皱皮(份),18
24/06/2023,小米椒(份),20
24/06/2023,小青菜(1),5.97
24/06/2023,木耳菜,2.769
24/06/2023,枝江青梗散花,2.161
24/06/2023,洪湖藕带,2.72
24/06/2023,海鲜菇(包),13
24/06/2023,竹叶菜,16.569
24/06/2023,紫茄子(2),13.573
24/06/2023,红椒(2),3.95
24/06/2023,红莲藕带,0.862
24/06/2023,红薯尖,4.011
24/06/2023,芜湖青椒(1),17.986
24/06/2023,苋菜,14.396
24/06/2023,菜心,4.112
24/06/2023,菠菜,3.252
24/06/2023,菠菜(份),2
24/06/2023,菱角,1.77
24/06/2023,虫草花(份),3
24/06/2023,螺丝椒,9.3
24/06/2023,螺丝椒(份),15
24/06/2023,蟹味菇与白玉菇双拼(盒),2
24/06/2023,西兰花,9.387
24/06/2023,西峡花菇(1),6.18
24/06/2023,金针菇(盒),18
24/06/2023,长线茄,6.831
24/06/2023,青红杭椒组合装(份),1
24/06/2023,青线椒(份),1
24/06/2023,青茄子(1),7.098
24/06/2023,高瓜(1),3.046
25/06/2023,七彩椒(2),1.048
25/06/2023,上海青,1.383
25/06/2023,云南油麦菜,4.232
25/06/2023,云南油麦菜(份),19
25/06/2023,云南生菜,0.557
25/06/2023,云南生菜(份),37
25/06/2023,净藕(1),5.251
25/06/2023,双孢菇(盒),8
25/06/2023,圆茄子(2),0.616
25/06/2023,姜蒜小米椒组合装(小份),9
25/06/2023,娃娃菜,7
25/06/2023,小皱皮(份),9
25/06/2023,小米椒(份),17
25/06/2023,小青菜(1),4.788
25/06/2023,木耳菜,4.548
25/06/2023,洪湖藕带,4.741
25/06/2023,海鲜菇(包),11
25/06/2023,竹叶菜,13.941
25/06/2023,紫茄子(2),16.448
25/06/2023,红椒(2),1.395
25/06/2023,红莲藕带,0.579
25/06/2023,红薯尖,3.087
25/06/2023,芜湖青椒(1),11.883
25/06/2023,苋菜,9.824
25/06/2023,菜心,1.242
25/06/2023,菠菜,2.293
25/06/2023,菱角,1.483
25/06/2023,虫草花(份),1
25/06/2023,螺丝椒,5.332
25/06/2023,螺丝椒(份),13
25/06/2023,西兰花,10.681
25/06/2023,西峡花菇(1),4.271
25/06/2023,金针菇(盒),11
25/06/2023,长线茄,2.493
25/06/2023,青红杭椒组合装(份),2
25/06/2023,青茄子(1),3.758
25/06/2023,高瓜(1),2.357
25/06/2023,高瓜(2),2.089
26/06/2023,七彩椒(2),1.506
26/06/2023,上海青,1.42
26/06/2023,云南油麦菜,0.573
26/06/2023,云南油麦菜(份),14
26/06/2023,云南生菜,7.971
26/06/2023,云南生菜(份),4
26/06/2023,净藕(1),4.493
26/06/2023,双孢菇(盒),11
26/06/2023,外地茼蒿,1.862
26/06/2023,奶白菜,7.636
26/06/2023,姜蒜小米椒组合装(小份),8
26/06/2023,娃娃菜,3
26/06/2023,小皱皮(份),15
26/06/2023,小米椒(份),20
26/06/2023,小青菜(1),5.446
26/06/2023,木耳菜,10.052
26/06/2023,洪湖藕带,2.784
26/06/2023,海鲜菇(包),4
26/06/2023,白玉菇(袋),1
26/06/2023,竹叶菜,12.022
26/06/2023,紫茄子(2),16.395
26/06/2023,红椒(2),1.905
26/06/2023,红莲藕带,0.349
26/06/2023,红薯尖,3.49
26/06/2023,芜湖青椒(1),10.334
26/06/2023,苋菜,7.777
26/06/2023,菠菜,1.275
26/06/2023,虫草花(份),4
